"","Geo_FIPS","MAJORITY","AADT","TC","Percentage.of.below.18","Percentage.of.above.65","Percentage.of.non.white.pop","Percentage.of.less.than.HS","Percentage.of.unemployment","MHI","Population.Density..Per.Sq..Mile.","PM2.5","Traffic"
"628",6037224310,24,0,0,0.28,0.08,0.32,0.41,0.04,36932,34697.06,12.18410918,1250.225218
"629",6037224320,24,0,0,0.23,0.14,0.61,0.52,0.07,28616,26472.62,12.18410918,2028.031741
"630",6037224410,24,1,0,0.15,0.14,0.55,0.38,0.06,26773,18250.94,12.17492801,3712.548484
"631",6037224420,23,0,0,0.23,0.08,0.49,0.49,0.09,24878,19042.06,12.11034605,3366.191416
"632",6037224600,24,0,0,0.26,0.11,0.71,0.59,0.06,46162,12194.73,12.08083341,1977.772749
"633",6037226001,24,1,0,0.34,0.05,0.71,0.45,0.1,34808,6545.278,12.15802236,2429.418553
"634",6037226002,24,1,0,0.12,0.06,0.58,0.26,0.09,37643,1835.337,12.25156535,1931.043768
"635",6037226410,24,0,0,0.27,0.08,0.54,0.68,0.07,40147,33603.11,12.09845951,900.6286739
"636",6037226420,23,0,0,0.27,0.07,0.6,0.59,0.09,44209,33553.25,12.15802236,916.7699754
"637",6037227010,24,0,0,0.38,0.06,0.48,0.63,0.08,48200,25510.93,12.09940492,832.5616204
"638",6037227020,24,0,0,0.28,0.07,0.52,0.63,0.09,47361,21320.43,12.09940492,694.4065848
"639",6037228100,24,0,0,0.35,0.06,0.45,0.56,0.08,47444,14210.61,12.15734144,554.9191044
"640",6037228210,24,0,0,0.32,0.11,0.51,0.56,0.11,35969,26672.91,12.09940492,667.0754392
"641",6037228220,23,0,0,0.31,0.07,0.56,0.55,0.09,43482,30941.46,12.15734144,755.7290663
"642",6037228310,24,0,0,0.32,0.06,0.56,0.63,0.06,44375,21442.63,12.06807983,767.460932
"643",6037228320,23,0,0,0.33,0.07,0.49,0.66,0.06,43272,23990.98,12.06807983,740.8897098
"644",6037228410,24,0,0,0.28,0.06,0.45,0.53,0.09,41012,33573.83,12.0527736,700.7129571
"645",6037228420,23,0,0,0.38,0.04,0.58,0.59,0.1,38094,30849.2,12.0527736,722.3923401
"646",6037228500,23,0,0,0.29,0.07,0.67,0.52,0.08,33125,28092.59,12.0257337,838.3761808
"647",6037228600,23,0,0,0.31,0.05,0.71,0.61,0.11,48393,26054.06,12.05265861,1014.701527
"648",6037228710,23,0,0,0.34,0.07,0.5,0.6,0.06,31849,25478.29,12.10765122,764.8327164
"649",6037228720,23,0,0,0.34,0.07,0.46,0.58,0.1,38933,30920.77,12.21219619,711.9885826
"650",6037228800,24,0,0,0.34,0.07,0.51,0.55,0.07,41250,16417.37,12.21219619,487.4645779
"651",6037228900,23,0,0,0.37,0.05,0.55,0.62,0.17,23750,14660.21,12.16800708,508.4178425
"652",6037229100,23,0,0,0.32,0.05,0.52,0.58,0.06,46678,28056.22,12.15277014,626.5593905
