Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Percentage of below 18,Percentage of above 65,Percentage of non white pop,Percentage of less than HS,Percentage of unemployment,MHI,Population Density (Per Sq. Mile)
06037502901,Census Tract 5029.01,"Census Tract 5029.01, Los Angeles County, California",06,037,502901,,14000US06037502901,0.19,0.11,0.47,0.21,0.05,94375,12077.5
06037502902,Census Tract 5029.02,"Census Tract 5029.02, Los Angeles County, California",06,037,502902,,14000US06037502902,0.28,0.12,0.7,0.31,0.07,48750,2801.695
06037503000,Census Tract 5030,"Census Tract 5030, Los Angeles County, California",06,037,503000,,14000US06037503000,0.34,0.06,0.66,0.32,0.03,59671,10927.59
06037503103,Census Tract 5031.03,"Census Tract 5031.03, Los Angeles County, California",06,037,503103,,14000US06037503103,0.27,0.13,0.66,0.22,0.09,77795,12418.03
06037503104,Census Tract 5031.04,"Census Tract 5031.04, Los Angeles County, California",06,037,503104,,14000US06037503104,0.26,0.1,0.69,0.36,0.05,62974,12161.05
06037503105,Census Tract 5031.05,"Census Tract 5031.05, Los Angeles County, California",06,037,503105,,14000US06037503105,0.29,0.09,0.65,0.2,0.05,73611,9982.15
06037503106,Census Tract 5031.06,"Census Tract 5031.06, Los Angeles County, California",06,037,503106,,14000US06037503106,0.23,0.13,0.61,0.25,0.03,68255,11456.21
06037503201,Census Tract 5032.01,"Census Tract 5032.01, Los Angeles County, California",06,037,503201,,14000US06037503201,0.24,0.17,0.57,0.11,0.04,97277,7980.749
06037503202,Census Tract 5032.02,"Census Tract 5032.02, Los Angeles County, California",06,037,503202,,14000US06037503202,0.25,0.15,0.51,0.18,0.06,68107,11414.2
06037503301,Census Tract 5033.01,"Census Tract 5033.01, Los Angeles County, California",06,037,503301,,14000US06037503301,0.24,0.11,0.35,0.06,0.08,98929,8006.901
06037503302,Census Tract 5033.02,"Census Tract 5033.02, Los Angeles County, California",06,037,503302,,14000US06037503302,0.23,0.09,0.59,0.12,0.04,78617,11366.08
06037503401,Census Tract 5034.01,"Census Tract 5034.01, Los Angeles County, California",06,037,503401,,14000US06037503401,0.23,0.18,0.42,0.1,0.04,100498,8700.152
06037503402,Census Tract 5034.02,"Census Tract 5034.02, Los Angeles County, California",06,037,503402,,14000US06037503402,0.22,0.14,0.34,0.08,0.03,104069,6694.206
06037503501,Census Tract 5035.01,"Census Tract 5035.01, Los Angeles County, California",06,037,503501,,14000US06037503501,0.27,0.11,0.52,0.15,0.05,61535,10795.55
06037503502,Census Tract 5035.02,"Census Tract 5035.02, Los Angeles County, California",06,037,503502,,14000US06037503502,0.25,0.13,0.49,0.09,0.04,90125,9688.239
