RTE,DIST,City,County,State,Country,DESCRIPTION,TOTAL VEHICLE AADT,TOTAL TRUCK COUNTS,PERCENTAGE
110,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, STADIUM WAY OVERCROSSING",92500,1036,1.12
110,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 5",123000,935,0.76
110,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 5",183000,1684,0.92
110,07,LA,Los Angeles County,CA,USA,"PASADENA, GLENARM ST",43500,331,0.76
110,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 1",139000,7867,5.66
110,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 1",96000,6058,6.31
110,07,LA,Los Angeles County,CA,USA,228TH ST,180000,9720,5.4
110,07,LA,Los Angeles County,CA,USA,"CARSON, JCT. RTE. 405",220000,10076,4.58
110,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 91",271000,20406,7.53
110,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 91",242000,15778,6.52
118,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 27",137000,6001,4.38
118,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 27",118000,4862,4.12
118,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 5",82000,1460,1.78
118,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 210",115000,2795,2.43
118,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 405",244000,13103,5.37
118,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 405",245000,8624,3.52
126,07,LA,Los Angeles County,CA,USA,VENTURA/LOS ANGELES COUNTY LINE,22600,2113,9.35
126,07,LA,Los Angeles County,CA,USA,"SANTA CLARITA, NORTH JCT. RTE. 5, GOLDEN STATE FWY",36500,4351,11.92
126,07,LA,Los Angeles County,CA,USA,"SANTA CLARITA, SOUTH JCT. RTE. 5, GOLDEN STATE FWY",28000,1067,3.81
134,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTES. 101/170",190000,10089,5.31
134,07,LA,Los Angeles County,CA,USA,FORMAN AVE,216000,9590,4.44
134,07,LA,Los Angeles County,CA,USA,"PASADENA, SAN RAFAEL AVE INTERCHANGE",214000,5179,2.42
134,07,LA,Los Angeles County,CA,USA,"PASADENA, JCT. RTES. 210/710",220000,5544,2.52
134,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 5",109500,5585,5.1
134,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 5",118500,5096,4.3
134,07,LA,Los Angeles County,CA,USA,"GLENDALE, JCT. RTE. 2",234000,10062,4.3
134,07,LA,Los Angeles County,CA,USA,"GLENDALE, JCT. RTE. 2",205000,5433,2.65
138,07,LA,Los Angeles County,CA,USA,"JCT. RTE. 5, GOLDEN STATE FWY INTERCHANGE",2225,458,20.57
138,07,LA,Los Angeles County,CA,USA,"JCT. RTE. 14 NORTH, ANTELOPE VALLEY FWY",3800,536,14.1
138,07,LA,Los Angeles County,CA,USA,JCT. RTE. 14 SOUTH,35000,1887,5.39
138,07,LA,Los Angeles County,CA,USA,"PALMDALE, PEARLBLOSSOM HWY/AVE T",14500,1030,7.1
138,07,LA,Los Angeles County,CA,USA,"PALMDALE, PEARLBLOSSOM HWY/AVE T",18100,1691,9.34
138,07,LA,Los Angeles County,CA,USA,"JCT. RTE. 18, PALMDALE RD",14000,1343,9.59
138,07,LA,Los Angeles County,CA,USA,"JCT. RTE. 18, PALMDALE RD",9200,876,9.52
138,07,LA,Los Angeles County,CA,USA,LOS ANGELES/SAN BERNARDINO COUNTY LINE,12000,1142,9.52
164,07,LA,Los Angeles County,CA,USA,"EL MONTE, JCT. RTE. 10",53000,1776,3.35
164,07,LA,Los Angeles County,CA,USA,"EL MONTE, JCT. RTE. 10",77000,3442,4.47
170,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTES. 101/134",188000,7294,3.88
170,07,LA,Los Angeles County,CA,USA,S/O SHERMAN WAY; VAN OWEN ST,206000,7375,3.58
