"","DESCRIPTION","City","County","State","Country","AVG_AADT","AVG_TruckCounts","addr","lat","long","arcgis_address","score","location.x","location.y","extent.xmin","extent.ymin","extent.xmax","extent.ymax"
"44","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",47167,3226,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"45","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",7732,704,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"46","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",220667,14387,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"47","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",132667,8761,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"48","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",168000,10861,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"49","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",128565,8339,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"50","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",225333,14683,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"51","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",137333,9058,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"52","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",172667,11158,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"53","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",133232,8636,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"54","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",188500,12441,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"55","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",100500,6815,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"56","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",135833,8915,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"57","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",96399,6393,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"58","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",168000,10861,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
